"","country","td_ICCPR","td_ICESCR","td_ICERD","td_CEDAW","td_CRC","td_CAT","td_CRPD","td_CPED","td_ICRMW","bin_ICCPR","bin_ICESCR","bin_ICERD","bin_CEDAW","bin_CRC","bin_CAT","bin_CRPD","bin_CPED","bin_ICRMW","hdi_m","gdp_m","span_y","Main.religion"
"1","Afghanistan",5893.04166666667,5893.04166666667,6406.04166666667,8404.04166666667,1589.04166666667,842.041666666667,7945.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.426555555555556,1346.30769230769,0,"Islam"
"2","Albania",9068.04166666667,9068.04166666667,10368.0416666667,5184.04166666667,829.041666666667,3439.04166666667,8091.04166666667,223.083333333333,119.041666666667,1,1,1,1,1,1,1,1,1,0.691133333333333,6897.57692307692,19,"Islam"
"3","Algeria",8316.04166666667,8316.04166666667,2246.04166666667,5926.04166666667,1243.04166666667,1737.04166666667,6926.04166666667,NA,-655.958333333333,1,1,1,1,1,1,1,0,1,0.672,9904,0,"Islam"
"4","Angola",9166.04166666667,9166.04166666667,19643.0416666667,2391.04166666667,380.041666666667,12714.0416666667,8553.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.491526315789474,4187.53846153846,0,"Christianity"
"5","Argentina",7185.04166666667,7185.04166666667,1016.04166666667,1962.04166666667,379.041666666667,653.041666666667,6468.04166666667,259.083333333333,17.0416666666667,1,1,1,1,1,1,1,1,1,0.7692,16245.5769230769,33,"Christianity"
"6","Armenia",9696.04166666667,9778.04166666667,10046.0416666667,4944.04166666667,1311.04166666667,3199.04166666667,7218.04166666667,1396.08333333333,NA,1,1,1,1,1,1,1,1,0,0.67725,5560.61538461538,0,"Christianity"
"7","Australia",4999.04166666667,3291.04166666667,3570.04166666667,1244.04166666667,392.041666666667,1702.04166666667,6421.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.904785714285714,37950.3461538462,115,"Christianity"
"8","Austria",4296.04166666667,4296.04166666667,2331.04166666667,760.041666666667,990.041666666667,961.041666666667,6492.04166666667,1896.08333333333,NA,1,1,1,1,1,1,1,1,0,0.848333333333333,36219.5769230769,70,"Christianity"
"9","Azerbaijan",9382.04166666667,9382.04166666667,11196.0416666667,5609.04166666667,997.041666666667,4267.04166666667,6616.04166666667,NA,-2947.95833333333,1,1,1,1,1,1,1,0,1,0.69304347826087,8014.92307692308,0,"Islam"
"10","Bahrain",14533.0416666667,14905.0416666667,8862.04166666667,8144.04166666667,815.041666666667,4834.04166666667,7583.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.785366666666667,28948.9230769231,0,"Islam"
"11","Bangladesh",12328.0416666667,11626.0416666667,4920.04166666667,1711.04166666667,256.041666666667,5047.04166666667,6191.04166666667,NA,1660.04166666667,1,1,1,1,1,1,1,0,1,0.484966666666667,1886.11538461538,0,"Islam"
"12","Barbados",2222.04166666667,2222.04166666667,2514.04166666667,229.041666666667,323.041666666667,NA,8107.04166666667,NA,NA,1,1,1,1,1,0,1,0,0,0.7555,16215.9615384615,50,"Christianity"
"13","Belarus",2533.04166666667,2533.04166666667,1204.04166666667,340.041666666667,315.041666666667,823.041666666667,9478.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.740130434782609,12279.7307692308,0,"Christianity"
"14","Belgium",5980.04166666667,5980.04166666667,3516.04166666667,1957.04166666667,756.041666666667,5310.04166666667,6771.04166666667,1525.08333333333,NA,1,1,1,1,1,1,1,1,0,0.8703,33437.3846153846,122,"Christianity"
"15","Benin",9228.04166666667,9228.04166666667,13128.0416666667,4394.04166666667,256.041666666667,2649.04166666667,7870.04166666667,3870.08333333333,4168.04166666667,1,1,1,1,1,1,1,1,1,0.421766666666667,1641.38461538462,25,"Christianity"
"16","Bosnia and Herzegovina",9766.04166666667,9766.04166666667,10069.0416666667,4932.04166666667,1381.04166666667,3187.04166666667,7024.04166666667,1827.08333333333,-3706.95833333333,1,1,1,1,1,1,1,1,1,0.718555555555556,6445.73076923077,24,"Christianity"
"17","Botswana",12330.0416666667,NA,2983.04166666667,6009.04166666667,1940.04166666667,5751.04166666667,NA,NA,NA,1,0,1,1,1,1,0,0,0,0.608633333333333,10570.1923076923,50,"Christianity"
"18","Brazil",9180.04166666667,9180.04166666667,827.041666666667,1432.04166666667,308.041666666667,1753.04166666667,6436.04166666667,1340.08333333333,NA,1,1,1,1,1,1,1,1,0,0.684333333333333,10111.3461538462,31,"Christianity"
"19","Bulgaria",1385.04166666667,1385.04166666667,230.041666666667,709.041666666667,560.041666666667,736.041666666667,7765.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.738466666666667,11880,26,"Christianity"
"20","Burkina Faso",11717.0416666667,11717.0416666667,3131.04166666667,2783.04166666667,284.041666666667,5138.04166666667,6792.04166666667,979.083333333333,-1167.95833333333,1,1,1,1,1,1,1,1,1,0.357,1351.19230769231,0,"Islam"
